"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","genename"
"ENSG00000280071",3.43991361454376,-5.23865518380012,4.80034617946079,-1.09130779072033,0.275137470816854,0.993529997146041,"LOC102724023","glutamine amidotransferase class 1 domain containing 3B"
"ENSG00000274559",2330.12603954865,0.074423911125301,0.303369990135706,0.24532390660002,0.806205642432654,0.993529997146041,"LOC102724334","histone H2B type F-S-like"
"ENSG00000278903",3.13020849593195,0.969766900152038,4.63678851120153,0.209146243743764,0.83433407558048,0.993529997146041,"LOC124905527","uncharacterized LOC124905527"
"ENSG00000280330|CTBP2P10",23.1551658137518,0.481462262930466,0.951720351960012,0.505886274196956,0.612936488476306,0.993529997146041,"CTBP2P10",NA
"ENSG00000279177|CTBP2P9",36.98595233863,-0.259663269627586,0.650615643658554,-0.399103944331008,0.689816616074981,0.993529997146041,"CTBP2P9",NA
"ENSG00000281383",63.7409910658469,-0.22468032186867,1.01821422699183,-0.220661149601549,0.825356283906729,0.993529997146041,NA,NA
"ENSG00000280800",75.5868642977172,-0.161409527955905,0.806366244968648,-0.200169003803205,0.841348407951218,0.993529997146041,NA,NA
"ENSG00000280614",61.7726124832224,0.158333899985535,0.65056739443667,0.243378167027011,0.80771245559549,0.993529997146041,NA,NA
"ENSG00000281181",66.3876083134488,-0.0200366960017066,0.657674776617801,-0.0304659638989784,0.975695437647526,0.993529997146041,NA,NA
"ENSG00000275945|EIF3FP1",1856.27873870138,-0.0142486709870348,0.275886367823757,-0.0516468830969467,0.958810061854029,0.993529997146041,"EIF3FP1",NA
"ENSG00000232797|FAM207CP",17.9599992949663,-0.556051784676249,0.84287911302552,-0.659705260319356,0.509442990328016,0.993529997146041,"FAM207CP",NA
"ENSG00000224860|GXYLT1P2",12.6667759214211,0.305239162136985,0.816875694641382,0.373666598405757,0.708652378680681,0.993529997146041,"GXYLT1P2",NA
"ENSG00000228184|SNX19P1",153.102107278602,-0.17776326447643,0.613353372428289,-0.289821940283232,0.77195246199085,0.993529997146041,"SNX19P1",NA
"ENSG00000278678|CYCSP41",8.05734915562732,-0.365672940534171,1.10556900180023,-0.330755420908814,0.740829236252915,0.993529997146041,"CYCSP41",NA
"ENSG00000215559|ANKRD20A11P",14.3023189295332,0.494059971876282,1.12663718952287,0.438526241163329,0.661004852054976,0.993529997146041,"ANKRD20A11P",NA
"ENSG00000215562|CNN2P7",5308.37374148394,-0.0526965674685698,0.279747517632142,-0.188371885886987,0.850585136980026,0.993529997146041,"CNN2P7",NA
"ENSG00000228600|POLR2CP1",186.242705080423,-0.0175648130280415,0.354404375958339,-0.0495615015490279,0.960471826221002,0.993529997146041,"POLR2CP1",NA
"ENSG00000180530|NRIP1",7.21955492743814,-0.723644991034561,1.09009585097369,-0.66383611164852,0.50679521034664,0.993529997146041,"NRIP1","nuclear receptor interacting protein 1"
"ENSG00000266195|RN7SL163P",7.01446875518861,0.283395547712614,1.07930012275993,0.262573441563158,0.79287937251243,0.993529997146041,"RN7SL163P","RNA, 7SL, cytoplasmic 163, pseudogene"
"ENSG00000226580|RPL39P40",130.415841943659,-0.114452812717155,0.44904222343312,-0.254882072875272,0.798814182855036,0.993529997146041,"RPL39P40",NA
"ENSG00000232260|BTF3L4P1",30.3440736442587,0.220343270460546,0.563844860881794,0.390787051097624,0.69595464714053,0.993529997146041,"BTF3L4P1",NA
"ENSG00000215386|MIR99AHG",104.462867531524,0.274201109013369,0.309427376407131,0.88615659091711,0.375533151622182,0.993529997146041,"MIR99AHG","mir-99a-let-7c cluster host gene"
"ENSG00000214976|VDAC2P1",345.477896247529,-0.202775988156956,0.529223407786674,-0.383157632813349,0.701602889388994,0.993529997146041,"VDAC2P1",NA
"ENSG00000226818|SLC6A6P1",99.846172294734,-0.694527911704632,0.456816705612504,-1.520364520762,0.128419386277455,0.982030600945242,"SLC6A6P1",NA
"ENSG00000233676|FDPSP6",61.6947984547558,-0.259230655612379,0.455460716464469,-0.569161392500909,0.569246618373226,0.993529997146041,"FDPSP6","farnesyl diphosphate synthase pseudogene 6"
"ENSG00000233206|RPS3AP1",365.896154399616,-0.54581807923368,0.206523078606379,-2.64289145269802,0.00822013834548941,0.133577248114203,"RPS3AP1","RPS3A pseudogene 1"
"ENSG00000229336|SREK1IP1P1",181.506604723069,-0.332188702409099,0.258164163322446,-1.28673437139374,0.1981868886066,0.993529997146041,"SREK1IP1P1",NA
"ENSG00000198618|PPIAP22",14563.2370267458,0.0230819701858208,0.345383991516951,0.0668298784910184,0.946717136977748,0.993529997146041,"PPIAP22",NA
"ENSG00000223488|MAPK6P2",52.9253436532134,-0.129661213287085,0.530968902337358,-0.244197377127564,0.807077958337173,0.993529997146041,"MAPK6P2",NA
"ENSG00000223822|EEF1A1P1",75353.3367892804,-0.31353584217954,0.161418686179002,-1.94237637290549,0.0520915534385802,0.587378236954853,"EEF1A1P1",NA
"ENSG00000237484|LINC01684",2.52492454914227,0.0661369322246877,1.68559493460134,0.0392365513606208,0.968701792290964,0.993529997146041,"LINC01684","long intergenic non-protein coding RNA 1684"
"ENSG00000260583",21.1076573300893,1.16518628216681,0.967517444141409,1.20430519286483,0.228471640336651,0.993529997146041,"LINC00515","long intergenic non-protein coding RNA 515"
"ENSG00000213885|RPL13AP7",17073.8249036189,-0.145174435852033,0.24467131901547,-0.593344722365495,0.552950474606888,0.993529997146041,"RPL13AP7",NA
"ENSG00000227054|FDX1P2",12.8658535077323,-0.360934904747839,0.959097276158261,-0.376327734130986,0.706673263329628,0.993529997146041,"FDX1P2",NA
"ENSG00000235514|LLPHP2",120.26307298548,0.206167918451413,0.545251880979251,0.378115006373098,0.705345160974701,0.993529997146041,"LLPHP2",NA
"ENSG00000166265|CYYR1",4.50438725676467,1.4606781381736,1.55299609447924,0.940554933374385,0.346932985959017,0.993529997146041,"CYYR1","cysteine and tyrosine rich 1"
